image_id,qw,qx,qy,qz,tx,ty,tz,camera_params_id,image_name
154,0.600768202564673,-0.537785843719052,-0.4201548914738577,-0.4163337846646489,1.3971053072594182,-0.398165422285388,-0.13915559681611409,1,DJI_0156.JPG
155,0.6385075209051709,-0.5773242365640815,-0.3590327758979816,-0.3606942437220518,1.730945788583151,-0.3966311376507273,-0.4987851490005873,1,DJI_0155.JPG
156,0.6018203633051005,-0.5396815522629552,-0.41861155377706216,-0.41390873330085426,0.7521853590907289,-0.41481898477232465,-0.03373538306326538,1,DJI_0157.JPG
157,0.6028419146692191,-0.5398099311608359,-0.4178915715560832,-0.41298123269765025,0.3945618726078209,-0.42952152357651513,0.05864480357977828,1,DJI_0158.JPG
158,0.6038246870468202,-0.5399622978843184,-0.4171787574893653,-0.4120659516096004,0.068938769379436,-0.4329556020504584,0.1476434551565012,1,DJI_0159.JPG
159,0.6045528516191547,-0.53978942496801,-0.4168980506494959,-0.41150849524220506,-0.2731358953952946,-0.44043697940105,0.22791400667909495,1,DJI_0160.JPG
160,0.6050880786177177,-0.5398796257142486,-0.4163886628651026,-0.411119068264625,-0.5611750567678808,-0.44580290118715105,0.28868263239329695,1,DJI_0161.JPG
161,0.5883291508977367,-0.5217980371339218,-0.4403163041854759,-0.43326339669487224,-0.9589733101020155,-0.4556172844645451,0.25551003091244995,1,DJI_0163.JPG
162,0.6055900540457266,-0.5397964189249115,-0.4160469175411282,-0.41083509460763085,-0.777147276858695,-0.45456446604544976,0.31071644885864097,1,DJI_0162.JPG
163,0.5851217036321017,-0.518082796249234,-0.44466875879677803,-0.43759856389089596,-1.1338155478960565,-0.4622430574521379,0.2586321469536954,1,DJI_0164.JPG
164,0.5815485228226167,-0.5135690394792244,-0.449867328550882,-0.44234324228331123,-1.5871234039092201,-0.46222974297956937,0.32103376534276623,1,DJI_0166.JPG
165,0.5831928002221402,-0.5159788364380324,-0.4472363831927801,-0.4400359254262699,-1.283115581400504,-0.4574810432113942,0.27162121800162126,1,DJI_0165.JPG
166,0.5806530124623288,-0.5118577232077038,-0.45155870559627803,-0.44377751825803685,-1.72161653263756,-0.47245533416888025,0.3329633820235402,1,DJI_0167.JPG
167,0.5788631618889438,-0.5086485910790234,-0.45455733096525686,-0.446734466396987,-1.9470632498289633,-0.4927888584940884,0.30836343977263536,1,DJI_0169.JPG
168,0.5792876896387275,-0.5093721945807449,-0.4538400097365865,-0.44608854007171733,-1.9455899388177615,-0.4859258905662628,0.3129606367498046,1,DJI_0168.JPG
169,0.5769761756095934,-0.5072977708417243,-0.4563433683932141,-0.4488855027749061,-2.1984905441678935,-0.4894325389474191,0.2643613478829762,1,DJI_0170.JPG
